prompt,answer,category,source
The capital of France is,Paris,factual,lama-synthetic
The capital of Germany is,Berlin,factual,lama-synthetic
The capital of Italy is,Rome,factual,lama-synthetic
The capital of Spain is,Madrid,factual,lama-synthetic
The capital of Japan is,Tokyo,factual,lama-synthetic
The official language of France is,French,factual,lama-synthetic
The official language of Spain is,Spanish,factual,lama-synthetic
The currency of United States is,Dollar,factual,lama-synthetic
The currency of United Kingdom is,Pound,factual,lama-synthetic
The currency of Japan is,Yen,factual,lama-synthetic
Water freezes at,0 degrees Celsius,factual,lama-synthetic
The chemical symbol for gold is,Au,factual,lama-synthetic
The largest planet in our solar system is,Jupiter,factual,lama-synthetic
The smallest planet in our solar system is,Mercury,factual,lama-synthetic
The Sun is a,star,factual,lama-synthetic
The Song of Hiawatha is based on the legends and stories of,,creative,gutenberg-poetry
"many North American Indian tribes, but especially those of the",,creative,gutenberg-poetry
"Ojibway Indians of northern Michigan, Wisconsin, and Minnesota.",,creative,gutenberg-poetry
"They were collected by Henry Rowe Schoolcraft, the reknowned",,creative,gutenberg-poetry
"Schoolcraft married Jane, O-bah-bahm-wawa-ge-zhe-go-qua (The",,creative,gutenberg-poetry
"fur trader, and O-shau-gus-coday-way-qua (The Woman of the Green",,creative,gutenberg-poetry
"Prairie), who was a daughter of Waub-o-jeeg (The White Fisher),",,creative,gutenberg-poetry
"who was Chief of the Ojibway tribe at La Pointe, Wisconsin.",,creative,gutenberg-poetry
"Jane and her mother are credited with having researched,",,creative,gutenberg-poetry
"authenticated, and compiled much of the material Schoolcraft",,creative,gutenberg-poetry
included in his Algic Researches (1839) and a revision published,,creative,gutenberg-poetry
in 1856 as The Myth of Hiawatha. It was this latter revision,,creative,gutenberg-poetry
that Longfellow used as the basis for The Song of Hiawatha.,,creative,gutenberg-poetry
"Longfellow began Hiawatha on June 25, 1854, he completed it",,creative,gutenberg-poetry
soon as the poem was published its popularity was assured.,,creative,gutenberg-poetry
"However, it also was severely criticized as a plagiary of the",,creative,gutenberg-poetry
Finnish epic poem Kalevala. Longfellow made no secret of the,,creative,gutenberg-poetry
fact that he had used the meter of the Kalevala; but as for the,,creative,gutenberg-poetry
"legends, he openly gave credit to Schoolcraft in his notes to the",,creative,gutenberg-poetry
I would add a personal note here. My father's roots include,,creative,gutenberg-poetry
"Ojibway Indians: his mother, Margaret Caroline Davenport, was a",,creative,gutenberg-poetry
"daughter of Susan des Carreaux, O-gee-em-a-qua (The Chief Woman),",,creative,gutenberg-poetry
"Finally, my mother used to rock me to sleep reading portions of",,creative,gutenberg-poetry
